variable,season,n_years,trend,p_value,sen_slope,z
precipitation(mm),Spring,32,no trend,0.5925510100829448,0.2884615384615371,0.5351429532047082
precipitation(mm),Summer,32,no trend,0.3069529533583135,-1.4889285714285714,-1.02163654702717
precipitation(mm),Autumn,32,no trend,0.7334457521953335,-0.524358974358974,-0.34054551567572333
precipitation(mm),Winter,33,no trend,0.36062734198879776,0.7819696969696963,0.9141703486639896
snow_depth(cm),Spring,32,no trend,0.2918511202475407,-0.10680641821946169,-1.0540694532820007
snow_depth(cm),Summer,32,no trend,1.0,0.0,0.0
snow_depth(cm),Autumn,32,decreasing,0.0026784814465061757,-0.024881813343351808,-3.0024134278229497
snow_depth(cm),Winter,33,no trend,0.34457761884916804,-0.16012755360581454,-0.94515917404243
mean_temperature(°C),Spring,32,no trend,0.09486107679233946,0.03889039855072467,1.670294672123786
mean_temperature(°C),Summer,32,no trend,0.05778505532796996,0.041946214392803674,1.8973250159076016
mean_temperature(°C),Autumn,32,increasing,0.017134045455555746,0.06149933657673599,2.3838186097300635
mean_temperature(°C),Winter,33,no trend,0.23284204679391474,0.04668730650154804,1.1930697770699525
min_temperature(°C),Spring,32,no trend,0.5703230029200781,0.015794625978936,0.5675758594595389
min_temperature(°C),Summer,32,increasing,0.018703634813544978,0.03672768878718534,2.351385703475233
min_temperature(°C),Autumn,32,increasing,0.028580768516166755,0.06273799460612647,2.1892211722010786
min_temperature(°C),Winter,33,no trend,0.245202584024502,0.06485836385836385,1.1620809516915123
max_temperature(°C),Spring,32,no trend,0.05363683937977637,0.04512847056325316,1.9297579221624324
max_temperature(°C),Summer,32,no trend,0.16808028138689668,0.0338843599033821,1.3783985158303087
max_temperature(°C),Autumn,32,increasing,0.03944736533784576,0.05906678460858023,2.0594895471817556
max_temperature(°C),Winter,33,no trend,0.27128711578294107,0.05260971055088702,1.1001033009346315
