date,rrday,snow,tday,tmin,tmax
1991-01-01,0.000,27.000,-7.200,-9.300,-2.100
1991-01-02,1.600,26.000,-7.600,-13.200,-2.200
1991-01-03,7.100,28.000,-0.100,-2.900,0.600
1991-01-04,1.000,33.000,0.300,-0.100,0.600
1991-01-05,2.300,32.000,0.900,-0.100,2.000
1991-01-06,5.400,30.000,1.000,0.300,2.500
1991-01-07,0.900,32.000,0.700,0.400,1.500
1991-01-08,3.900,31.000,-0.800,-2.500,0.700
1991-01-09,10.000,35.000,0.500,0.000,0.800
1991-01-10,14.200,38.000,-0.300,-1.300,1.100
1991-01-11,0.300,48.000,-6.300,-8.900,-0.600
1991-01-12,8.000,47.000,-12.400,-14.400,-8.800
1991-01-13,0.100,56.000,-13.600,-18.000,-11.000
1991-01-14,0.000,54.000,-6.100,-12.800,-4.000
1991-01-15,0.000,53.000,-7.100,-12.400,-3.100
1991-01-16,-1.000,51.000,-3.900,-5.400,-2.300
1991-01-17,0.100,49.000,-5.800,-9.800,-3.100
1991-01-18,-1.000,49.000,-3.200,-6.400,0.100
1991-01-19,-1.000,48.000,-1.500,-3.400,0.300
1991-01-20,8.500,48.000,1.000,-0.300,2.300
1991-01-21,0.000,48.000,-0.600,-2.300,1.300
1991-01-22,-1.000,48.000,-3.300,-9.200,-0.200
1991-01-23,0.000,47.000,2.400,-0.300,4.600
1991-01-24,0.000,45.000,-2.200,-3.500,2.700
1991-01-25,0.700,46.000,2.900,-2.700,6.600
1991-01-26,0.100,46.000,-5.300,-10.200,5.100
1991-01-27,2.400,46.000,-7.200,-14.100,-1.300
1991-01-28,0.800,48.000,-0.500,-1.500,1.100
1991-01-29,0.000,48.000,-8.700,-15.600,-1.400
1991-01-30,0.600,47.000,-15.700,-24.000,-7.800
1991-01-31,0.900,49.000,-2.900,-7.800,-1.700
1991-02-01,0.100,54.000,-3.000,-6.000,-1.500
1991-02-02,0.000,54.000,-9.500,-12.200,-2.700
1991-02-03,-1.000,53.000,-12.300,-16.900,-8.800
1991-02-04,-1.000,51.000,-10.800,-12.500,-6.700
1991-02-05,0.000,51.000,-12.900,-16.000,-6.400
1991-02-06,0.100,51.000,-11.800,-14.500,-9.300
1991-02-07,0.100,51.000,-14.000,-18.600,-9.200
1991-02-08,0.100,51.000,-11.600,-21.100,-9.800
1991-02-09,0.100,51.000,-7.800,-10.900,-6.300
1991-02-10,0.000,52.000,-9.800,-12.400,-6.800
1991-02-11,0.100,52.000,-15.800,-20.900,-9.800
1991-02-12,2.400,50.000,-12.200,-15.000,-10.100
1991-02-13,0.200,54.000,-11.400,-13.500,-10.000
1991-02-14,4.400,55.000,-9.700,-13.000,-8.700
1991-02-15,0.600,56.000,-6.300,-8.700,-4.200
1991-02-16,0.900,58.000,-9.300,-13.900,-5.900
1991-02-17,0.700,58.000,-9.800,-15.000,-5.200
1991-02-18,0.100,59.000,-12.600,-16.000,-9.700
1991-02-19,0.100,59.000,-11.900,-20.200,-4.900
1991-02-20,0.800,59.000,-3.200,-9.000,0.500
1991-02-21,0.100,58.000,0.900,0.500,1.200
1991-02-22,0.100,54.000,1.000,-1.000,2.700
1991-02-23,5.400,53.000,0.900,0.600,1.600
1991-02-24,0.000,52.000,2.100,0.300,3.500
1991-02-25,0.000,50.000,2.200,1.600,3.100
1991-02-26,0.000,48.000,-1.700,-3.400,1.700
1991-02-27,0.000,48.000,-5.000,-6.900,-3.000
1991-02-28,-1.000,47.000,-4.700,-6.000,-2.200
1991-03-01,-1.000,47.000,-5.500,-8.500,-1.900
1991-03-02,-1.000,48.000,-5.800,-9.700,-0.300
1991-03-03,0.400,48.000,-6.600,-13.100,-2.700
1991-03-04,0.800,48.000,-2.000,-4.800,0.300
1991-03-05,0.100,49.000,-0.300,-0.800,0.800
1991-03-06,0.400,48.000,-0.900,-2.200,0.500
1991-03-07,-1.000,48.000,-0.300,-1.400,2.600
1991-03-08,-1.000,48.000,-0.500,-1.500,3.100
1991-03-09,-1.000,48.000,-2.200,-7.000,3.200
1991-03-10,0.200,48.000,-3.200,-5.600,-0.200
1991-03-11,0.000,49.000,0.600,-2.800,1.300
1991-03-12,0.100,49.000,0.500,0.300,1.200
1991-03-13,0.100,48.000,-2.800,-6.100,0.800
1991-03-14,8.200,47.000,-4.500,-7.300,-2.700
1991-03-15,0.500,55.000,-2.700,-3.300,0.400
1991-03-16,-1.000,54.000,-7.000,-15.900,0.800
1991-03-17,0.300,54.000,-0.900,-6.700,2.400
1991-03-18,1.100,54.000,0.600,0.200,1.200
1991-03-19,1.000,51.000,1.700,0.400,2.500
1991-03-20,2.300,48.000,1.400,0.500,2.400
1991-03-21,0.500,46.000,2.500,1.100,4.600
1991-03-22,7.600,44.000,2.000,1.400,3.400
1991-03-23,1.600,40.000,0.700,0.300,1.500
1991-03-24,0.100,40.000,0.200,-0.100,0.900
1991-03-25,0.000,40.000,0.100,-2.100,4.500
1991-03-26,-1.000,38.000,1.400,-2.400,6.000
1991-03-27,-1.000,37.000,-0.900,-4.400,3.800
1991-03-28,0.000,37.000,-0.300,-4.000,3.200
1991-03-29,-1.000,37.000,2.200,-3.600,7.800
1991-03-30,5.300,37.000,1.500,0.100,4.200
1991-03-31,0.600,38.000,0.600,-1.300,4.200
1991-04-01,1.300,37.000,0.300,-2.800,6.000
1991-04-02,1.500,37.000,1.600,-3.500,3.600
1991-04-03,0.300,32.000,5.100,2.800,6.700
1991-04-04,-1.000,24.000,5.500,3.000,10.400
1991-04-05,0.000,23.000,4.000,-0.700,7.000
1991-04-06,1.400,20.000,6.600,1.500,11.700
1991-04-07,0.600,8.000,5.800,3.900,7.900
1991-04-08,-1.000,8.000,6.300,1.700,11.900
1991-04-09,3.200,2.000,4.800,2.200,8.000
1991-04-10,-1.000,0.000,5.000,4.100,9.000
1991-04-11,-1.000,-1.000,5.800,-0.400,12.500
1991-04-12,-1.000,-1.000,6.800,-0.300,14.100
1991-04-13,0.000,-1.000,8.500,-0.500,16.500
1991-04-14,0.200,-1.000,4.800,3.700,10.500
1991-04-15,0.100,-1.000,2.500,-2.600,7.400
1991-04-16,1.600,-1.000,1.700,-0.200,5.000
1991-04-17,0.100,1.000,-0.200,-2.000,3.200
1991-04-18,0.000,-1.000,-1.600,-5.000,1.800
1991-04-19,0.100,-1.000,-1.500,-7.800,3.100
1991-04-20,0.000,-1.000,0.200,-2.400,4.000
1991-04-21,0.000,-1.000,-1.400,-4.400,3.500
1991-04-22,0.100,-1.000,-0.800,-8.100,5.800
1991-04-23,-1.000,0.000,1.900,-3.800,7.700
1991-04-24,0.000,-1.000,2.600,-3.600,9.000
1991-04-25,-1.000,-1.000,3.200,-3.300,8.800
1991-04-26,-1.000,-1.000,4.700,-3.500,11.900
1991-04-27,-1.000,-1.000,5.900,-1.200,11.300
1991-04-28,0.100,-1.000,3.600,-0.600,8.400
